SampleDate,N1,N2
28/12/2020,0.7441387757,0.6998172585
11/01/2021,0.8022822965,0.6933646703
13/01/2021,0.7821412877,0.6247765799
25/01/2021,0.7032868818,0.573335512
26/01/2021,0.5803974279,0.4710060618
08/02/2021,0.5519789869,0.4580076235
10/02/2021,0.5571232362,0.4747168748
22/02/2021,0.4972327738,0.4235001638
24/02/2021,0.452314927,0.3850876307
08/03/2021,0.3921684618,0.3298201508
10/03/2021,0.4372653424,0.3148276209
15/03/2021,0.4073393534,0.3035832234
17/03/2021,0.422185431,0.3324404947
22/03/2021,0.4500880774,0.3708515363
24/03/2021,0.4974731421,0.4261178974
29/03/2021,0.5535344219,0.4880901496
31/03/2021,0.5955803818,0.5345693387
05/04/2021,0.690863501,0.6067192998
07/04/2021,0.7358677605,0.6608317707
12/04/2021,0.7323303857,0.6641255545
14/04/2021,0.7669679239,0.7038864617
19/04/2021,0.718364939,0.6591260034
21/04/2021,0.6927451895,0.5990975797
26/04/2021,0.6626978881,0.6178249113
28/04/2021,0.6774529814,0.6318704099
03/05/2021,0.6247706521,0.5149072352
05/05/2021,0.6284850731,0.406662373
11/05/2021,0.6048128089,0.426517945
12/05/2021,0.5497680415,0.4041190546
17/05/2021,0.5554650271,0.4343004481
19/05/2021,0.5970283356,0.4942270626
24/05/2021,0.5007035184,0.4116747247
26/05/2021,0.5186666348,0.3762185513
01/06/2021,0.5056808921,0.3869169906
03/06/2021,0.5596902344,0.4586894694
07/06/2021,0.4991580224,0.4114796099
09/06/2021,0.5547980822,0.4771114339
14/06/2021,0.5327794776,0.4625866525
16/06/2021,0.4789749548,0.4144024972
21/06/2021,0.5396607815,0.4793035994
28/06/2021,0.4576778527,0.4004821273
30/06/2021,0.3961906562,0.3413660233
12/07/2021,0.3765333388,0.3234870252
14/07/2021,0.3617903507,0.3738264261
20/07/2021,0.388023679,0.3851228967
26/07/2021,0.3439500259,0.430885819
28/07/2021,0.310894786,0.364168792
04/08/2021,0.4136006549,0.4416283205
09/08/2021,0.4533394871,0.5467035281
11/08/2021,0.4566855313,0.5785293726
30/08/2021,0.5229437138,0.6023987559
01/09/2021,0.6099279201,0.6575913628
08/09/2021,0.6173530241,0.6147146873
13/09/2021,0.6434443334,0.6932863913
15/09/2021,0.7267614648,0.7257570893
22/09/2021,0.7255006639,0.7128195435
27/09/2021,0.7245550633,0.7031163841
29/09/2021,0.7238458628,0.6958390146
05/10/2021,0.7233139624,0.6903809874
07/10/2021,0.7866636865,0.686287467
12/10/2021,0.7968854102,0.6832173268
14/10/2021,0.778093623,0.6809147216
19/10/2021,0.7002511332,0.6791877677
21/10/2021,0.7429084846,0.6778925522
25/10/2021,0.8013595782,0.74066979
28/10/2021,0.781449249,0.724004069
02/11/2021,0.7665165021,0.7115047782
09/11/2021,0.7758394231,0.7226527914
15/11/2021,0.7623091327,0.71049132
17/11/2021,0.8159100642,0.7856413471
22/11/2021,0.8561107629,0.8420038674
29/11/2021,0.9235518562,0.8637532764
01/12/2021,0.8936159387,0.836839165
06/12/2021,0.8976220806,0.8431116615
08/12/2021,0.9546853445,0.8008354726
13/12/2021,0.9974827924,0.8966256297
15/12/2021,0.9080191784,0.8204484675
07/07/2020,1.3137973812,0.674006906
20/07/2020,1.2030681706,0.7112974753
03/08/2020,0.9816914746,0.701974833
18/08/2020,0.8156589526,0.7419634125
09/09/2020,0.7921737798,0.6612256365
16/09/2020,0.7745599002,0.7281696032
21/09/2020,0.6338521917,0.7351514101
23/09/2020,0.6185281398,0.6825747147
28/09/2020,0.6070351008,0.6431421932
30/09/2020,0.5719572416,0.587109722
05/10/2020,0.5888750153,0.4608142381
07/10/2020,0.6220858268,0.4671318438
13/10/2020,0.6205358554,0.5188506093
14/10/2020,0.6458314569,0.5576396835
19/10/2020,0.6442806768,0.5662090079
26/10/2020,0.6166595117,0.5461779211
28/10/2020,0.7066728485,0.5781351673
02/11/2020,0.7104342017,0.602103102
04/11/2020,0.8142944353,0.6838277023
09/11/2020,0.7911503918,0.6813725032
10/11/2020,0.8375410086,0.6795311039
16/11/2020,0.8085853218,0.6781500544
18/11/2020,0.8879077754,0.7408629167
24/11/2020,0.8668828781,0.724148914
02/12/2020,0.8305917239,0.711613412
08/12/2020,0.7023341396,0.6649212161
09/12/2020,0.70718017,0.6466701573
14/12/2020,0.7313371741,0.6535043445
16/12/2020,0.7494549271,0.6321719048
22/12/2020,0.7425207607,0.6426306551
28/12/2020,0.7373201359,0.7142233672
29/12/2020,0.7334196672,0.7041692519
05/01/2021,0.7099718345,0.6496481041
06/01/2021,0.7129084412,0.6292797246
11/01/2021,0.694588415,0.5561903893
13/01/2021,0.8024100953,0.6493931678
19/01/2021,0.7352565756,0.6085660411
21/01/2021,0.7523944783,0.6249262573
25/01/2021,0.771183504,0.5999058501
27/01/2021,0.695068544,0.5919730341
10/02/2021,0.6006917546,0.5114422833
16/02/2021,0.6309483813,0.552083439
18/02/2021,0.5261435526,0.455067007
23/02/2021,0.4270174498,0.3617822018
24/02/2021,0.399653434,0.3387991591
01/03/2021,0.3526723421,0.2951037971
03/03/2021,0.296914042,0.2418097944
08/03/2021,0.2550953169,0.302878511
10/03/2021,0.3080024036,0.3956606097
15/03/2021,0.3271602375,0.4182666225
17/03/2021,0.4463222247,0.4822016934
23/03/2021,0.5151712338,0.5566110766
24/03/2021,0.5668079907,0.5859600339
29/03/2021,0.5585549971,0.5874492707
31/03/2021,0.5993458132,0.5717981101
05/04/2021,0.6034808452,0.5708922291
07/04/2021,0.6330401992,0.5329222489
12/04/2021,0.6346872335,0.5681934132
19/04/2021,0.6094644292,0.5741243051
21/04/2021,0.617005406,0.5785724741
27/04/2021,0.6431836199,0.6024310821
28/04/2021,0.6628172802,0.5998025568
03/05/2021,0.6775425255,0.6183536441
05/05/2021,0.6416058982,0.6117444783
10/05/2021,0.6411115078,0.580329524
12/05/2021,0.6612631962,0.5832263882
17/05/2021,0.6293964012,0.5853990364
24/05/2021,0.631954385,0.5605704426
26/05/2021,0.6279372741,0.5624714784
01/06/2021,0.6513825209,0.5530647659
02/06/2021,0.5414691573,0.4558030022
07/06/2021,0.4854922146,0.4730634088
14/06/2021,0.4170514276,0.3958019844
21/06/2021,0.493218136,0.4653532148
28/06/2021,0.4660720368,0.3694968576
29/06/2021,0.3819638129,0.2976045897
06/07/2021,0.3394051263,0.2642078701
08/07/2021,0.2869636301,0.2186378491
12/07/2021,0.3583617186,0.2314408946
14/07/2021,0.3217035556,0.2145850987
19/07/2021,0.2736874521,0.1814207706
21/07/2021,0.2376753744,0.1565475245
27/07/2021,0.3381636149,0.2389318086
28/07/2021,0.3065549778,0.2202032842
02/08/2021,0.4308682799,0.3336541896
04/08/2021,0.631078074,0.5462396674
09/08/2021,0.6742606021,0.5987039583
18/08/2021,0.7066474981,0.6380521765
23/08/2021,0.7477057583,0.7107895082
25/08/2021,0.7412088841,0.7015938576
30/08/2021,0.7568587096,0.715219601
01/09/2021,0.7480735976,0.684393946
07/09/2021,0.6945042023,0.6612747047
09/09/2021,0.727765797,0.7114383163
13/09/2021,0.7262539131,0.7020804637
15/09/2021,0.7888686495,0.7588107236
20/09/2021,0.8093716218,0.7376097692
22/09/2021,0.7874582817,0.7011865722
27/09/2021,0.8180038379,0.7413722169
29/09/2021,0.7939324437,0.7245308891
04/10/2021,0.8601500287,0.7961710239
12/10/2021,0.8255420869,0.7656299944
14/10/2021,0.8201086118,0.7632467036
19/10/2021,0.8219691042,0.7879173154
20/10/2021,0.7969063935,0.759439713
25/10/2021,0.8418580098,0.8018301606
15/11/2021,0.8118230727,0.769874347
17/11/2021,0.8098193511,0.7664299679
22/11/2021,0.8720652093,0.827595333
23/11/2021,0.8344784723,0.768675745
06/12/2021,0.8268109008,0.7655310165
13/12/2021,0.8005377409,0.7426499889
12/10/2020,0.4667236639,0.4190123085
14/10/2020,0.4667236639,0.4190123085
19/10/2020,0.4029750146,0.3552636592
21/10/2020,0.3816216076,0.3976589015
26/10/2020,0.4293552017,0.3657066839
28/10/2020,0.5024459666,0.4427817394
02/11/2020,0.5572640403,0.5005880311
04/11/2020,0.5983775955,0.5439427498
09/11/2020,0.7302519807,0.6774980075
12/11/2020,0.7281185509,0.7403738815
17/11/2020,0.7902671278,0.7237821376
18/11/2020,0.7731299112,0.7113383297
23/11/2020,0.8613162175,0.7657541231
25/11/2020,0.8264167284,0.7428173188
30/11/2020,0.8002421117,0.6618660663
03/12/2020,0.8443597984,0.6649012762
07/12/2020,0.8136994142,0.6298871143
10/12/2020,0.7269554766,0.5771684128
14/12/2020,0.746168654,0.6219005174
16/12/2020,0.7605785371,0.6554495957
21/12/2020,0.6498242495,0.5590497046
28/12/2020,0.5667585337,0.4867497862
30/12/2020,0.6054984656,0.5335640662
04/01/2021,0.6983020639,0.5686747761
06/01/2021,0.6668655439,0.6214658886
11/01/2021,0.5325589433,0.486581363
13/01/2021,0.6171393422,0.5707283181
19/01/2021,0.6638065532,0.6170704463
21/01/2021,0.5772452615,0.6577626412
25/01/2021,0.5123242928,0.5607844887
28/01/2021,0.6284214343,0.6528387424
04/02/2021,0.6517456411,0.6581307833
08/02/2021,0.5417414974,0.5346025152
11/02/2021,0.5867356884,0.5057049635
16/02/2021,0.6204813316,0.5477804491
18/02/2021,0.7468297828,0.6803762821
22/02/2021,0.7405519024,0.6150352887
25/02/2021,0.7358434922,0.629778193
01/03/2021,0.7323121845,0.7045840206
04/03/2021,0.7296637037,0.6969397419
08/03/2021,0.5796575631,0.543186753
11/03/2021,0.5514240883,0.5121431419
15/03/2021,0.5939976316,0.4515698642
18/03/2021,0.5621791397,0.4434304753
22/03/2021,0.5756058401,0.3735772842
25/03/2021,0.6121339454,0.4486846897
29/03/2021,0.575781375,0.4412665944
01/04/2021,0.6122655966,0.4994516723
06/04/2021,0.5758801134,0.4793418313
08/04/2021,0.6496302198,0.5652986693
13/04/2021,0.7314008795,0.5924757285
15/04/2021,0.728980225,0.6128585229
20/04/2021,0.7271647341,0.665436188
22/04/2021,0.7258031159,0.6675788675
29/04/2021,0.6237426836,0.5681466584
06/05/2021,0.5844879286,0.5308630709
12/05/2021,0.5550468625,0.5029003803
13/05/2021,0.5967147122,0.5456770117
18/05/2021,0.6279655995,0.5777594853
20/05/2021,0.6514037649,0.6018213405
25/05/2021,0.642524309,0.4923704331
27/05/2021,0.5985741478,0.474030902
03/06/2021,0.6293601762,0.524024903
08/06/2021,0.6524496975,0.5615204037
10/06/2021,0.6697668384,0.5896420293
15/06/2021,0.6827546942,0.6107332484
17/06/2021,0.5914563673,0.5255124441
22/06/2021,0.6240218408,0.5626360596
24/06/2021,0.5846972966,0.5267301218
29/06/2021,0.6189525378,0.5635493178
01/07/2021,0.54360475,0.4901244962
13/07/2021,0.5243844784,0.4723464493
15/07/2021,0.5737179242,0.5227615634
20/07/2021,0.6744666578,0.6616121178
22/07/2021,0.6862795587,0.6647108148
27/07/2021,0.779410365,0.730783487
29/07/2021,0.7649873391,0.6528406923
04/08/2021,0.7541700696,0.6581322457
05/08/2021,0.7460571176,0.7631401295
11/08/2021,0.7399724035,0.7408568236
12/08/2021,0.8364480867,0.7878929936
17/08/2021,0.8282881116,0.7799439529
19/08/2021,0.8389362184,0.7534596912
24/08/2021,0.8096317291,0.7335964949
25/08/2021,0.7876533622,0.7186990976
01/09/2021,0.771169587,0.7075260497
02/09/2021,0.7588067556,0.6991462638
09/09/2021,0.749534632,0.6928614243
13/09/2021,0.7425805393,0.7518964441
21/09/2021,0.7373649698,0.7961727089
23/09/2021,0.7972019421,0.7656312582
27/09/2021,0.8793702406,0.7427251701
14/10/2021,0.7762085964,0.6617969547
19/10/2021,0.826334662,0.7285980919
21/10/2021,0.9276778606,0.7149502954
26/10/2021,0.9399366101,0.7889855786
27/10/2021,0.9059045042,0.7807633917
28/10/2021,0.9068385047,0.8010548315
02/11/2021,0.8605584439,0.7898153314
04/11/2021,0.7620997489,0.6971145757
09/11/2021,0.8362755076,0.7756087888
10/11/2021,0.8919073266,0.8344794487
16/11/2021,0.785611411,0.8581099624
17/11/2021,0.785611411,0.8581099624
23/11/2021,0.7985157711,0.8014628681
30/11/2021,0.8262969549,0.7960569576
02/12/2021,0.8471328428,0.8125250059
07/12/2021,0.9168184161,0.9259152609
09/12/2021,0.9690825961,0.9904354709
14/12/2021,0.9709901618,0.9955994602
12/11/2020,0.7217182614,0.7560968309
07/12/2020,0.7325507507,0.7232934861
09/12/2020,0.7175617648,0.6986909776
10/12/2020,0.7495461936,0.6719974784
15/09/2020,0.7217182614,0.674006906
16/09/2020,0.657969612,0.6945293872
22/09/2020,0.7003648543,0.7158568469
24/09/2020,0.6587226448,0.6211232311
29/09/2020,0.674471549,0.6343441498
30/09/2020,0.6657607458,0.6442598388
07/10/2020,0.6592276435,0.6047160444
12/10/2020,0.5905791673,0.5377676292
14/10/2020,0.5390928102,0.4875563178
19/10/2020,0.5210005237,0.4704203154
21/10/2020,0.5506574768,0.4743364018
26/10/2020,0.5464421117,0.5037315466
28/10/2020,0.5902611491,0.5463003865
02/11/2020,0.6231254272,0.5782270163
04/11/2020,0.6477736357,0.6659206381
09/11/2020,0.6662597921,0.6679422051
11/11/2020,0.7438730588,0.7067489496
16/11/2020,0.6745857101,0.6348147894
18/11/2020,0.7874080666,0.6446128185
23/11/2020,0.7709856153,0.6049807791
02/12/2020,0.8224174262,0.6859859602
07/12/2020,0.797242635,0.6829911966
09/12/2020,0.7783615416,0.6337645627
15/12/2020,0.7377426415,0.6173670685
16/12/2020,0.7337365465,0.6110045466
20/12/2020,0.6837514139,0.6062326552
28/12/2020,0.6462625645,0.6026537367
04/01/2021,0.6446040075,0.5735114677
06/01/2021,0.663882571,0.551654766
12/01/2021,0.6783414936,0.5617203198
13/01/2021,0.6627276055,0.5633338863
18/01/2021,0.6569527882,0.57047966
20/01/2021,0.6261635953,0.5758389902
26/01/2021,0.6295297805,0.5798584879
27/01/2021,0.6261188207,0.5769375124
03/02/2021,0.6500186809,0.5001656421
08/02/2021,0.6209630148,0.5231034768
10/02/2021,0.582403177,0.4333320354
16/02/2021,0.5161927294,0.4562101837
17/02/2021,0.5411160324,0.4842012842
23/02/2021,0.5392860284,0.4846721284
24/02/2021,0.5476035173,0.4947152535
02/03/2021,0.544151642,0.4925576053
03/03/2021,0.5620852169,0.5584424117
08/03/2021,0.5814709967,0.566811054
10/03/2021,0.5792422435,0.5563194477
15/03/2021,0.5678806867,0.565218831
17/03/2021,0.6700887298,0.6561644991
22/03/2021,0.6192474633,0.5968764515
24/03/2021,0.6448651628,0.6161590651
30/03/2021,0.6905365175,0.6306210253
01/04/2021,0.6983319534,0.6679255755
06/04/2021,0.7041785304,0.6694459081
08/04/2021,0.7085634631,0.6500636763
13/04/2021,0.758832724,0.703030045
15/04/2021,0.7495541083,0.6584836909
20/04/2021,0.7425951466,0.6623644946
22/04/2021,0.7373759253,0.6652750975
27/04/2021,0.7334615093,0.6469355684
29/04/2021,0.7305256973,0.6331809215
04/05/2021,0.7078013571,0.6228649364
06/05/2021,0.7112805831,0.5886698675
11/05/2021,0.6933675215,0.5894816459
13/05/2021,0.6161840758,0.5263418303
18/05/2021,0.595587061,0.542735618
20/05/2021,0.5428487305,0.42753366
25/05/2021,0.5032949826,0.3411321915
27/05/2021,0.4941521529,0.3606022208
01/06/2021,0.4872950307,0.3752047427
03/06/2021,0.482152189,0.3861566342
08/06/2021,0.4145464084,0.3306219034
10/06/2021,0.3433195917,0.2684483741
15/06/2021,0.3909386978,0.2855668765
17/06/2021,0.3256138087,0.2346571039
22/06/2021,0.3608912725,0.280745905
24/06/2021,0.323600721,0.2515638565
29/06/2021,0.3593814568,0.2934259695
01/07/2021,0.3019458779,0.2405514237
06/07/2021,0.3019458779,0.2405514237
08/07/2021,0.3732843821,0.1917441506
13/07/2021,0.4134122906,0.2917873582
15/07/2021,0.4435082221,0.3668197639
20/07/2021,0.4287896013,0.2955967695
22/07/2021,0.4009825476,0.3529087342
27/07/2021,0.4606439948,0.4126607959
29/07/2021,0.5259125614,0.4779973234
03/08/2021,0.5748639864,0.5475222003
05/08/2021,0.5910550739,0.5586208955
10/08/2021,0.6031983895,0.5669449169
12/08/2021,0.5690797081,0.5299617648
17/08/2021,0.5867168652,0.5454505688
19/08/2021,0.599944733,0.5570671719
24/08/2021,0.6303881151,0.522553456
26/08/2021,0.6532206517,0.5604168185
31/08/2021,0.6498225728,0.5682918591
02/09/2021,0.6472740137,0.5477400596
07/09/2021,0.6285945063,0.4782675525
09/09/2021,0.5881267957,0.4634537415
14/09/2021,0.5842340928,0.4788014633
16/09/2021,0.5548564856,0.5481253052
21/09/2021,0.5965719295,0.542305136
23/09/2021,0.6073360312,0.5282500173
28/09/2021,0.5986410194,0.5273986701
30/09/2021,0.6294103299,0.564050729
05/10/2021,0.6319648315,0.5072686427
07/10/2021,0.654403189,0.5694756897
